site_id,name,address,point_x,point_y,site_use,status,drain_acres,imp_percent,imp_acres,an_runoff,retro_type,bmp_type,feasibility,dsgn_dfclt,wtrshd_bft,priority,source,oldsiteid
21,,Hamilton Es,-76.55738367,39.35967607,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_1
22,,Hamilton Ms,-76.55477718,39.35007226,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_2
23,,Hazelwood Es,-76.5387835,39.33839414,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_3
24,,Radecke Playfield Radecke Ave and Gardenwood Ave,-76.53702205,39.33137815,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,32,40,12.8,1800247.68,storage,stormwater pond/wetland system,high,high,high,high,DPW-MS4,mo_r_4
25,,Moores Run Park  Between Radecke Ave and Sinclair Ln,-76.53378369,39.3275543,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_5
26,,Wyman Park Below Tudor Arms Ave and Gilman Terr,-76.62450889,39.33463964,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,60,30,18,2634508.8,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,st_r_1
27,,Cross Country Blvd and Chilham Ave,-76.66405792,39.36537629,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_1
28,,Glen Ave and Merville Ave,-76.67883775,39.36007198,,identified,0,0,0,0,,,,,,,DPW-MS4,we_r_2
29,,Cross Country Es,-76.68797089,39.36224958,Permeable Pavement to Replace Conventional Pavement in Existing Parking Lot,identified,0.5,100,0.5,65176.65,on site,"permeable pavement, underdrain",high,high,low,medium,DPW-MS4,we_r_4
30,,Pimlico Ms,-76.68310844,39.35448221,Impervious Cover Removal With Site Reforestation/revegetation,identified,1,100,1,130353.3,on site,impervious cover removal,high,low,low,high,DPW-MS4,we_r_3
31,,Northwestern Hs,-76.70509953,39.36477252,,identified,0,0,0,0,,,,,,,DPW-MS4,we_r_5
32,,Hamilton Ms,-76.69832888,39.37762714,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_2
33,,Hamilton Es,-76.70541578,39.37791538,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_1
34,,Hazelwood Es,-76.68468031,39.38139969,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_3
35,,Moores Run Park  Between Hamilton Ave and Radecke Ave,-76.67901552,39.38710715,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_6
36,,Moores Run Park  Between Radecke Ave and Sinclair Ln,-76.681431,39.38618073,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_5
37,,Radecke Playfield Radecke Ave and Gardenwood Ave,-76.67995837,39.38095984,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,32,40,12.8,1800247.68,storage,stormwater pond/wetland system,high,high,high,high,DPW-MS4,mo_r_4
38,,Moores Run Park  Between Sinclair Ln and I-895,-76.67271644,39.39211641,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_7
39,,Parkside Shopping Center Sinclair Ln and Moravia Rd,-76.54604075,39.32354682,,identified,0,0,0,0,,,,,,,DPW-MS4,bi_r_2
40,,Herring Run Park Between Harford Rd and Argonne Dr,-76.57649528,39.33444915,Dry Swale to Convey and Treat Stormwater Runoff from Upstream Drainage Area,identified,12,60,7.2,971475.12,storage,dry swale,medium,high,high,medium,DPW-MS4,hr_r_22
41,,Safeway Harford Rd and Montebello Terr,-76.57157602,39.33959366,Bioretention Area in Parking Lot to Treat Parking Lot Runoff,identified,0.6,100,0.6,78211.98,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,hr_r_23
42,,Northwood Shopping Center Hillen Rd and Wood Rd,-76.58963864,39.34128574,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_24
43,,Garrett Heights Es,-76.56902751,39.3493124,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_25
44,,Mt Pleasant Park Between Perring Pkwy Laurelton Ave and Herring Run,-76.57338949,39.35632086,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_27
45,,Us Marine Corps Training Center,-76.56024159,39.36919816,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_30
46,,Lacrosse Field Kelly Ave and Cottonworth Ave,-76.64915674,39.36377792,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_5
47,,Pimlico Es,-76.66763212,39.34808379,Bioretention Area in Existing Landscaping Areas in Parking Lot to Treat Parking Lot Runoff,identified,1,90,0.9,118004.04,on site,"bioretention area, underdrain",medium,low,low,medium,DPW-MS4,lj_r_6
48,,Greenspring Community Center,-76.65553694,39.34618784,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_18
49,,Greenspring Ms,-76.6573088,39.34502427,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_13
50,,Cold Spring Ln and Greenspring Ave,-76.65650826,39.34270669,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_12
51,,Edgecombe Park,-76.65976416,39.34244172,Site Reforestation/revegetation,identified,5,10,0.5,96049.8,on site,site reforestation/revegetation,high,low,medium,high,DPW-MS4,lj_r_11
52,,West Old Coldspring Ln and Brand Ave,-76.64853052,39.34776032,Stormwater Wetland to Treat Stormwater Runoff from Upstream Drainage Area,identified,22,40,8.8,1237670.28,storage,shallow extended detention wetland,low,high,high,medium,DPW-MS4,lj_r_9
53,,Medfield Heights Es,-76.64378082,39.34030519,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_17
54,,41st St and Buena Vista Ave,-76.64009606,39.33556524,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_14
55,,Druid Hill Park Druid Hill Park Dr and Greenspring Ave,-76.65373663,39.33027633,Stream and Floodplain Restoration to Treat Stormwater Runoff from Upstream Drainage Area,identified,90,30,27,3951763.2,storage,stream restoration,medium,high,high,medium,DPW-MS4,lj_r_19
56,,Martin Luther King Jr Es,-76.65715512,39.33284311,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_15
57,,James D Gross Roosevelt Park,-76.63583419,39.32914862,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_20
58,,I-83 and North Ave,-76.62504875,39.3115541,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_21
59,,Laurens St and Bolton St,-76.63025333,39.30898313,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_22
60,,Mount Royal Station Howard St and Mount Royal Ave,-76.61984947,39.30544249,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_23
61,,Greenmount Ave and Loch Raven Blvd,-76.60882489,39.31612768,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_26
62,,Cecil Es,-76.60610932,39.31350804,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_27
63,,Aisquith St and Curtain Ave,-76.60115073,39.31337179,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_28
64,,Kirk Ave and 25th St,-76.60198253,39.31760014,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_29
65,,Coldstream Park Es,-76.60132058,39.32142961,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_32
66,,Abbottson Es/baltimore City College Hs,-76.59708047,39.32601818,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_33
67,,Homewood Ave and Biddle St,-76.6050094,39.30334652,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_24
68,,Wyman Park Dell,-76.61866114,39.32441268,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,lj_r_25
69,,Waverly Es/ms,-76.60498114,39.33023098,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_34
70,,Dolphin St and Mcculloh St,-76.62703886,39.30253133,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_35
71,,Calhoun St and Presstman St,-76.64013956,39.30601876,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_36
72,,Ensor St and Monument St,-76.60199292,39.29858915,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_37
73,,Stony Run Park Below Wyman Park Dr,-76.62623662,39.32386491,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_2
74,,Calvert School,-76.6218558,39.33946971,Underground Detention to Provide Extended Detention and Partial Treatment of Stormwater Runoff from Upstream Drainage Area,identified,120,30,36,5269017.6,storage,underground detention system,low,very high,high,low,DPW-MS4,st_r_4
75,,Guilford Neighborhood Tulip Park Greenway and Stratford Rd,-76.61395492,39.34097672,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Residential Development.,identified,45,30,13.5,1975881.6,storage,stormwater pond/wetland system,low,high,high,medium,DPW-MS4,st_r_5
76,,Loyola College Fitness and Aquatic Center Wyndhurst Ave and Charles St,-76.6246647,39.35222633,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_6
77,,Friends School,-76.62744467,39.35757109,Bioretention Area in Existing Landscaping Area in Parking Lot to Treat Parking Lot Runoff,identified,0.8,100,0.8,104282.64,on site,"bioretention area, underdrain",medium,low,low,medium,DPW-MS4,st_r_7
78,,Cathedral of Mary Our Queen,-76.62726395,39.36063042,Bioretention Areas in Existing Landscaping Areas in Parking Lot to Treat Parking Lot Runoff,identified,2.5,100,2.5,325883.25,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,st_r_8
79,,Cotswold Rd and Amberly Way,-76.63164289,39.36019793,Convert/enhance Existing Outfall Retrofit to Stormwater Pond/wetland System to Provide Additional Treatment of Stormwater Runoff from Upstream Drainage Area,identified,55,35,19.25,2754571.05,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,st_r_9
80,,Thurgood Marshall Ms,-76.54567113,39.32077405,Bioretention Area in Existing Open Space Area to Treat Parking Lot Runoff,identified,1.5,100,1.5,195529.95,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,bi_r_3
81,,Mt Pleasant Park at Perring Pkwy and Laurelton Ave,-76.57417672,39.35551218,Bioretention Area in Existing Depression to Treat Roadway Runoff,identified,1.5,50,0.75,102910.5,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,hr_r_10
82,,Bryn Mawr,-76.63017698,39.36359772,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_11
83,,Gilman Country,-76.63329307,39.35933009,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_12
84,,Roland Park Es/ms,-76.63284737,39.35743543,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_13
85,,Knights of Columbus,-76.61800694,39.35310711,Bioretention Area in Existing Pervious Area to Treat Parking Lot and Rooftop Runoff,identified,0.3,100,0.3,39105.99,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,st_r_10
86,,Notre Dame College of Maryland,-76.61658281,39.35194144,Multi-cell Bioretention Area in Existing Dry Detention Basin to Treat Stormwater Runoff from Upstream Drainage Area,identified,25,30,7.5,1097712,storage,"bioretention area, underdrain",high,medium,high,high,DPW-MS4,st_r_14
87,,Wood Heights Ave and La Plata Ave,-76.6467323,39.34053943,Wooded Stormwater Wetland to Treat Stormwater Runoff from Upstream Drainage Area,identified,10,40,4,562577.4,storage,shallow wetland,medium,high,high,medium,DPW-MS4,lj_r_38
88,,Baltimore City Public Works Yard Falls Rd S of 28th St,-76.62597845,39.3172282,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_41
89,,Memorial Stadium,-76.60143374,39.33007714,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_42
90,,John Eager Howard Elementary School,-76.63289727,39.31196465,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_43
91,,Baltimore City Community College Reisterstown Plaza Center,-76.69622209,39.35842276,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_18
92,,Falls Rd and Hillside Rd,-76.64099358,39.35092151,,identified,0,0,0,0,,,,,,,DPW-MS4,lj_r_16
93,,Patterson Park Adjunct,-76.57447296,39.2881642,Dry Swale in Existing Landscaping Area at Toe of Slope to Treat Stormwater Runoff from Disturbed Pervious Area,identified,11.9,5,0.595,155120.427,storage,dry swale,high,medium,medium,high,DPW-MS4,ha_r_6
94,,Unnamed Park at Orleans St and Ellwood Ave,-76.57483551,39.29553286,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ha_r_7
95,,Unnamed Park at Orleans St and Ellwood Ave,-76.57454475,39.29640828,Dry Swale/bioretention Area in Existing Open Space Area to Treat Stormwater Runoff from Disturbed Pervious Area,identified,2.4,5,0.12,31284.792,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,ha_r_8
96,,Unnamed Park at Orleans St and Ellwood Ave,-76.57475402,39.29717432,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ha_r_9
97,,Industrial Site at Edison Hwy and Madison St,-76.57021015,39.30110737,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ha_r_11
98,,Frank C Bocek Park,-76.57458844,39.30143753,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ha_r_12
99,,Highlandtown Es,-76.56447951,39.28914824,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_10
100,,Unnamed School at Chase St and Patterson Park Ave,-76.58384513,39.30296103,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_13
101,,Fayette St and Caroline St,-76.59866582,39.29327933,Bioretention Area in Existing Depression/open Space Area to Treat Parking Lot and Roadway Runoff,identified,1.4,85,1.19,156561.174,on site,"bioretention area, underdrain",high,low,low,high,DPW-MS4,ha_r_16
102,,Lombard Ms,-76.59565242,39.29087636,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_15
103,,Unnamed Park at Patterson Park Ave and Preston St,-76.58673567,39.30657404,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_14
104,,Unnamed Park at Caroline St and Eager St,-76.59864191,39.30247145,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_18
105,,Harford Heights Es,-76.59399622,39.31354447,Bioretention Area in Exsiting Open Space Area to Treat Stormwater Runoff from Small Impervious Area,identified,0.68,100,0.68,88640.244,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,ha_r_19
106,,Clifton Park Adjunct W of St Lo Dr at Sinclair Ln and Wolfe St,-76.59116955,39.31524007,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,5.8,90,5.22,684423.432,storage,stormwater pond/wetland system,medium,high,medium,medium,DPW-MS4,ha_r_20
107,,Clifton Park Adjunct E of St Lo Dr at Sinclair Ln and St Lo Dr,-76.58863382,39.31489448,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,,DPW-MS4,ha_r_21
108,,Clifton Park Harford Rd and St Lo Dr,-76.59062883,39.31838884,Bioretention Area in Existing Landscaping Area to Treat Roadway Runoff,identified,2.75,100,2.75,358471.575,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,ha_r_23
109,,Fairmont Harford Hs,-76.58519537,39.31730572,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,34.4,55,18.92,2572488.072,storage,stormwater pond/wetland system,high,medium,high,high,DPW-MS4,ha_r_22
110,,Moores Run Park  Between Sinclair Ln and I-895,-76.53263738,39.32603064,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_7
111,,Moores Run Park  Between Hamilton Ave and Radecke Ave,-76.5403275,39.33700321,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_6
112,,West of Erdman Ave Between Duncanwood Ln and Macon St,-76.56348137,39.30707497,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,ar_r_1
113,,Memorial Stadium,-76.59106518,39.33155584,,identified,0,0,0,0,,,,,,,DPW-MS4,ti_r_4
114,,Cross Country Blvd and Kelly Ave,-76.66351208,39.36680162,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_15
115,,Kelly Ave and Poplin Ave,-76.66158018,39.36690642,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_16
116,,Cross Country Blvd and Dale Rd,-76.67057632,39.36580206,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_14
117,,Below Montebello Filtration Plant N of Harford Rd E of Herring Run,-76.57759147,39.33325148,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_43
118,,Herring Run Park Between Belair Rd and Mannasota Ave Below Shannon Dr at Kavon Ave,-76.56619378,39.32548833,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,40,50,20,2744280,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,hr_r_39
119,,Homewood Homeland Ave and Spring Lake Way,-76.61584242,39.35366018,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,st_r_15
120,,Greenspring Ave and Shirley Ave,-76.65611025,39.33658724,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,lj_r_39
121,,Below San Martin Dr,-76.62556578,39.33015442,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,st_r_16
122,,Gilman Terr and 33rd St,-76.62483129,39.3325779,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,st_r_17
123,,Falstaff Rd and Gage Ct,-76.68551992,39.37061894,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_23
124,,Greenspring Ave and Fallstaff Rd,-76.68211675,39.37208461,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,we_r_25
125,,Canton Waterfront Park Below Boston St at Ellwood Ave,-76.5723963,39.27665839,Bioretention Area in Existing Landscaping Area to Treat Stormwater Runoff from Small Impervious Area,identified,1.55,85,1.3175,173335.5855,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,ha_r_2
126,,Canton Waterfront Park Below Boston St at Linwood Ave,-76.57561335,39.27720414,Bioretention Area in Existing Landscaping Area to Treat Stormwater Runoff from Small Impervious Area,identified,0.69,100,0.69,89943.777,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,ha_r_3
127,,Canton Waterfront Park Below Boston St at East Ave,-76.57097248,39.27636326,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ha_r_1
128,,Below Boston St Between Hudson St and Lakewood Ave,-76.58006615,39.28024929,,identified,0,0,0,0,,,,,,,DPW-MS4,ha_r_4
129,,Tamarind Rd and Springarden Dr,-76.65434299,39.34847028,Bioretention Area at End of Roadway to Treat Roadway Runoff,identified,1,80,0.8,105654.78,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,lj_r_3
130,Northern Parkway Median,Northern Pkwy W of Greenspring Ave,-76.66549288,39.35575219,Bioretention in Existing Landscaping Area in Roadway Median to Treat Roadway Runoff,identified,1,100,1,130353.3,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,lj_r_44
131,Boys Latin School,Boys Latin Hs,-76.63640095,39.3724608,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_18
132,Bmp Near Boys Latin School,Lake Ave and Lakehurst Dr,-76.63888428,39.37287093,,identified,0,0,0,0,,,,,,,DPW-MS4,st_r_19
133,Notre Dame College of Maryland,Elkridge Hunt Club,-76.61909156,39.3503342,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,st_r_20
134,John Hopkins Eastern Campus,Johns Hopkins University East Campus 33rd St,-76.60132378,39.32742312,Bioretention in Parking Lot to Treat Parking Lot Runoff,identified,4,100,4,521413.2,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,lj_r_45
135,Herring Run Park,Mercy Hs,-76.57696856,39.33410778,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_51
136,Herring Run Park,Orangeville Industrial Area E of Edison Hwy and Biddle St,-76.57155792,39.32666077,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_52
137,Clifton Park Golf Course,Clifton Park,-76.57698953,39.31930532,Dry Swale/bioretention Area in Existing Depression to Treat Stormwater Runoff from Golf Course,identified,2,10,0.2,38419.92,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,hr_r_38a
138,Clifton Golf Course,Clifton Park,-76.5750945,39.32089381,Bioretention Area in Existing Depression to Treat Roadway Runoff,identified,4.5,50,2.25,308731.5,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,hr_r_38b
139,Herring Run Park,Herring Run Park Between Mannasota Ave and Brehms Ln Below Shannon Dr at Mannasota Ave,-76.56245073,39.32369809,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,305,40,122,17158610.7,storage,stormwater pond/wetland system,low,very high,high,low,DPW-MS4,hr_r_42a
140,Chinquapin Run Park,Chinquapin Run Park Between Northern Pkwy and Belvedere Ave Below Chinquapin Pkwy at Sherwood Ave,-76.59865601,39.36471417,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ch_r_3a
141,Chinquapin Run Park,Chinquapin Run Park Between Northern Pkwy and Belvedere Ave Below Chinquapin Pkwy Between Elbank Ave and Gleneagle Rd,-76.59776521,39.36262917,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,45,50,22.5,3087315,storage,stormwater pond/wetland system,high,high,high,high,DPW-MS4,ch_r_3b
142,Chinquapin Run Park,Chinquapin Run Park Between Belvedere Ave and the Alameda Below Northwood Dr Between St Dunstans Rd and the Alameda,-76.59816827,39.35976786,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,84,60,50.4,6800325.84,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,ch_r_6a
143,Chinquapin Run Park,Chinquapin Run Park Between Belvedere Ave and the Alameda Below Northwood Dr Between Belvedere Ave and the Alameda,-76.59752859,39.35888485,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,300,60,180,24286878,storage,stormwater pond/wetland system,low,very high,high,low,DPW-MS4,ch_r_6b
144,Chinquapin Run Park,Chinquapin Run Park Between Woodbourne Ave and Loch Raven Blvd Below Kelway Rd at Kitmore Rd,-76.59357297,39.35166447,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ch_r_7
145,Chinquapin Run Park,Chinquapin Run Park Between the Alameda and Woodbourne Ave Below Northwood Dr at Woodbourne Ave,-76.59494781,39.3547321,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,82.8,50,41.4,5680659.6,storage,stormwater pond/wetland system,low,very high,high,low,DPW-MS4,ch_r_8
146,Herring Run Park,Herring Run Park Between Mannasota Ave and Brehms Ln Below Parkside Dr at Brehms Ln,-76.56171821,39.32337619,,identified,0,0,0,0,,outfall retrofit,,,,,DPW-MS4,hr_r_42b
147,,,-76.56598773,39.36503485,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_4
148,,,-76.55705664,39.31971808,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_16
149,,,-76.7203832,39.37715704,,identified,0,0,0,0,,,,,,,DPW-MS4,we_r_9
150,,,-76.67560209,39.39321014,,identified,0,0,0,0,,,,,,,DPW-MS4,mo_r_8
151,,,-76.67394794,39.38447261,,identified,0,0,0,0,,,,,,,DPW-MS4,uj_r_2
