id,name,short_name,section_name,short_source,description
21,"Percent of Households Earning Less than $25,000",hh25inc,Socioeconomic/Demographics,ACS,"The percentage of households earning less than $25,000 out of all households in an area.    "
22,"Percent of Households Earning $25,000 to $40,000",hh40inc,Socioeconomic/Demographics,ACS,"The percentage of households earning between $25,000 and $39,999 out of all households in an area.      "
23,"Percent of Households Earning $40,000 to $60,000",hh60inc,Socioeconomic/Demographics,ACS,"The percentage of households earning between $40,000 and $59,999 out of all households in an area.      "
24,"Percent of Households Earning $60,000 to $75,000",hh75inc,Socioeconomic/Demographics,ACS,"The percentage of households earning between $60,000 and $74,999 out of all households in an area.      "
25,"Percent of Households Earning More than $75,000",hhm75,Socioeconomic/Demographics,ACS,"The percentage of households earning more than $75,000 out of all households in an area.      "
26,Inequality Index (NOT YET DECIDED),gini,Socioeconomic/Demographics,ACS,
27,Percent of Family Households Living Below the Poverty Line,hhpov,Socioeconomic/Demographics,ACS,This indicator measures the percentage of households whose income fell below the poverty threshold out of all households in an area.  Federal and state governments use such estimates to allocate funds to local communities. Local communities use these estimates to identify the number of individuals or families eligible for various programs.       
28,Percent of Children Living Below the Poverty Line,hhchpov,Socioeconomic/Demographics,ACS,This indicator measures the percentage of persons under the age of 18 living in households where the total income fell below the poverty threshold out of all children in households in an area.  Federal and state governments use such estimates to allocate funds to local communities. Local communities use these estimates to identify the number of individuals or families eligible for various programs.  
29,Median Price of Homes Sold,salepr,Housing,FARES,The median home sales price is the middle value of the prices for which homes are sold (both market and private transactions) within a calendar year.  The median value is used as opposed to the average so that both extremely high and extremely low prices do not distort the prices for which homes are sold.  This measure does not take into account the assessed value of a property.
30,Median Number of Days on the Market,dom,Housing,RBIntel,The median number of days that homes listed for sale sits on the public market in a given area.  This time period is from the date it is listed for sale till the day the contract of sale is signed.  Private (non-listed) home sale transactions are not included in this indicator.  The median days on market is used as opposed to the average so that both extremely high and extremely low days on the market do not distort the length of time for which homes are listed on the market.
31,Number of Homes Sold,shomes,Housing,FARES,The portion of the homes and condominiums sold that were identified as being owned by the bank (REO) out of all residential properties sold in a calendar year.  
32,Percentage of Housing Units that are Owner-Occupied,ownroc,Housing,Maryland Property View,The percentage of homeowners that are the principal residents of a particular residential property out of all residential properties.  It is important to note that a portion of these owner-occupied properties may be subdivided and have tenants that pay rent and are not included in the calculation.
33,Percentage of Properties Under Mortgage Foreclosure,fore,Housing,Circuit Court,The percentage of properties where the  lending company or loan servicer has filed a foreclosure proceeding with the Baltimore City Circuit Court out of all residential properties within an area.  This is not a measure of actual foreclosures since not every property that receives a filing results in a property dispossession.
34,Percentage of Residential Properties that are Vacant and Abandoned,vacant,Housing,City Housing,The percentage of residential properties that have been classified as being vacant and abandoned by the Baltimore City Department of Housing out of all properties.  Properties are classified as being vacant and abandoned if: the property is not habitable and appears boarded up or open to the elements; the property was designated as being vacant prior to the current year and still remains vacant; and the property is a multi-family structure where all units are considered to be vacant. 
35,Percentage of Residential Properties with Housing Violations (Excluding Vacants),vio,Housing,City Housing,"The percentage of residential properties that have received at least one housing code violation from the Baltimore City Department of Housing out of all properties.  Properties whose façade, structure, and/or surrounding area violate the City’s Housing Code are issued a notice and are considered open till the property is found in compliance. A property may receive multiple violations.  "
36,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",resrehab,Housing,City Housing,"The portion of residential properties that have applied for and received a permit to renovate the interior and/or exterior of a property where the cost of renovation will exceed $5,000.  The threshold of $5,000 is used to differentiate a minor and more significant renovation project. "
37,Total Number of Residential Properties,totalres,Housing,Maryland Property View,"The total number of residential properties located within an area as identified by Maryland Property View.  It is important to note that that this indicator is a count of properties (single family homes, condominiums, and duplexes) and that a property can be comprised of multiple housing units.  "
38,Percentage of Residential Sales for Cash,cashsa,Housing,RBIntel,The portion of homes and condominiums sold for cash out of all residential properties sold in a calendar year. These types of sales tend to signify investor-based purchases as homes purchased for cash either become rental properties or later sold again in an effort to generate a profit.   
39,Percentage of Residential Sales in Foreclosure (REO),reosa,Housing,RBIntel,The percentage of properties where the  lending company or loan servicer has filed a foreclosure proceeding with the Baltimore City Circuit Court out of all residential properties within an area.  This is not a measure of actual foreclosures since not every property that receives a filing results in a property dispossession.
40,Percentage of Residential Tax Lien Sales,,Housing,,
41,"Number of Demolition Permits per 1,000 Residential Properties",demper,Housing,City Housing,"The number of permits issued for the demolition of residential buildings per 1,000 existing residential properties.  The permits are analyzed by date of issue and not date of actual demolition.        "
42,"Number of New Construction Permits per 1,000 Residential Properties",constper,Housing,City Housing,"The number of permits issued for new residential buildings per 1,000 existing residential properties within a community.  The permits are analyzed by date of issue and not date of completion.        "
43,Percentage of Vacant Properties Owned by Baltimore City,baltvac,Housing,City Housing,"The percent of properties that are classified as being vacant and abandoned that are owned by Baltimore City.  Baltimore City has come to own these properties through a variety of ways including (but not limited to) eminent domain, unpaid tax or water bills, and purchase"
44,Affordability Index - Mortgage,affordm,Housing,ACS,The percentage of households that pay more than 30% of their total household income on mortgage and other housing-related expenses 
45,Affordability Index - Rent,affordr,Housing,ACS,The percentage of households that pay more than 30% of their total household income on rent and related expenses out of all households in an area.    
46,"Number of Historic Tax Credits per 1,000 Residential Units",histax,Housing,,"The number of residential properties that received the Historic Tax Credit per 1,000 residential properties within an area.  The credit is granted on the increased assessment directly resulting from qualified improvements.  The duration of the credit is for 10 years, and is applicable to properties located in designated areas of significant historical value."
47,"Number of Homestead Tax Credits per 1,000 Residential Units",homtax,Housing,City Finance,"The number of residential properties that received the homestead tax credit per 1,000 residential properties within an area.  The Homestead Credit limits the increase in taxable assessments each year to a fixed percentage. Every county and municipality in Maryland is required to limit taxable assessment increases to 10% or less each year, with the Baltimore City rate capped at 4%."
48,"Number of Homeowner's Tax Credits per 1,000 Residential Units",owntax,Housing,City Finance,"The number of residential properties that received the homeowners tax credit per 1,000 residential properties within an area.  The homeowner’s tax credit sets a limit on the amount of property taxes any homeowner must pay based upon his or her income."
49,Percent Residential Properties that do Not Receive Mail,nomail,Housing,USPS/HUD,"The percentage of residential addresses for which the United States Postal Service has identified as being unoccupied (no mail collection) for a period of at least 90 days or longer.  These properties may be habitable, but are not currently being occupied.  It is important to note that a single residential property can contain more than one address."
50,"Part 1 Crime Rate per 1,000 Residents",crime,Crime and Safety,BCPD,"The part 1 crime rate captures incidents of homicide, rape, aggravated assault, robbery, burglary, larceny, and auto theft that are reported to the Police Department. These incidents are per 1,000 residents in the neighborhood to allow for comparison across areas."
51,Percentage of Part 1 Crimes that Occur During Daytime ,,Crime and Safety,,
52,"Violent Crime Rate per 1,000 Residents",viol,Crime and Safety,BCPD,"The violent crime rate measures the number of Part 1 crimes identified as being violent (homicide, rape, aggravated assault, and robbery) that are reported to the Police Department. These incidents are per 1,000 residents in the neighborhood to allow for comparison across areas."
53,"Property Crime Rate per 1,000 Residents",prop,Crime and Safety,BCPD,"The property crime rate measures the number of Part 1 crimes identified as being property-based (burglary and auto theft) that are reported to the Police Department. These incidents are per 1,000 residents in the neighborhood to allow for comparison across areas.  "
54,"Domestic Violence Calls For Service per 1,000 Residents",domvio,Crime and Safety,BCPD,"The rate of calls to emergency 911 for domestic violence per 1,000 residents in an area. Calls for service are used rather than actual crime incidents since domestic violence can be classified as one of several types of criminal offenses. It is important to also note that not every case of domestic violence is reported and some claims of abuse may be unfounded.  "
55,"Juvenile Arrest Rate per 1,000 Juveniles",juvarr,Crime and Safety,BCPD,"The number of persons aged 10 to 17 arrested per 1,000 juveniles that live in an area. This indicator is calculated by where the arrested juvenile was arrested and not by where the crime is committed. Arrests are used instead of crimes committed since not all juveniles that are arrested are charged with committing a crime. This indicator also excludes offenders who are later charged as adults for their crime(s)."
56,"Juvenile Arrest Rate for Violent Offenses per 1,000 Juveniles",juvviol,Crime and Safety,BCPD,"The number of persons aged 10 to 17 arrested for violent offenses per 1,000 juveniles that live in an area. Violent offenses may include homicide, rape, assault (with or without a weapon), and robbery. This indicator is calculated by where the arrested juvenile was arrested and not by where the crime is committed. Arrests are used instead of crimes committed since not all juveniles that are arrested are charged with committing a crime. This indicator also excludes offenders who are later charged as adults for their crime(s)."
57,"Juvenile Arrest Rate for Drug-Related Offenses per 1,000 Juveniles",juvdrug,Crime and Safety,BCPD,"The number of persons aged 10 to 17 for drug-related offenses per 1,000 juveniles that live in an area. Drug-related offenses include arrests for possession, sale, manufacture, or abuse of illegal drugs, including alcohol. This indicator is calculated by where the arrested juvenile was arrested and not by where the crime is committed. Arrests are used instead of crimes committed since not all juveniles that are arrested are charged with committing a crime. This indicator also excludes offenders who are later charged as adults for their crime(s)."
58,"Number of Shootings per 1,000 Residents",shoot,Crime and Safety,BCPD,"The rate of 911 calls for shootings per 1,000 residents in an area. Since the data comes from 911 calls, it is possible that multiple calls could be made for a single incident."
59,"Number of Gun-Related Homicides per 1,000 Residents",gunhom,Crime and Safety,BCPD,"The rate of homicides by firearm as reported in the Part 1 crime data per 1,000 residents in an area.  "
60,"Number of Common Assault Calls for Service per 1,000 Residents",caslt,Crime and Safety,BCPD,"The rate of calls for assaults that do not involve a weapon per 1,000 residents in an area. Since the data comes from 911 calls, it is possible that multiple calls could be made for a single incident.        "
61,"Number of Narcotics Calls for Service per 1,000 Residents",narc,Crime and Safety,BCPD,"The rate of calls for narcotics per 1,000 residents in an area. Since the data comes from 911 calls, it is possible that multiple calls could be made for a single incident. "
62,"Number of Automobile Accident Calls for Service per 1,000 Residents",caracc,Crime and Safety,BCPD,"The rate of calls for accidents involving motor vehicles per 1,000 residents in an area. Since the data comes from 911 calls, it is possible that multiple calls could be made for a single incident. Additionally, not every accident involving a motor vehicle is reported to the Police Department. "
63,"Rate of Fire and EMS Calls for Service per 1,000 Residents",,Crime and Safety,,
64,Average Fire and EMS Response Time,,Crime and Safety,,
65,Number of Children Enrolled in Head Start Programs,,Education,,
66,Number of Students Ever Attended 1st - 5th Grade,eattend,Education,BCPSS,The number of children who have registered for and attend 1st through 5th grade at a Baltimore City Public School at any point during the school year. 
67,Number of Students Ever Attended 6th - 8th Grade,mattend,Education,BCPSS,The number of children who have registered for and attend 6th through 8th grade at a Baltimore City Public School at any point in the school year. 
68,Number of Students Ever Attended 9th - 12th Grade,hsattend,Education,BCPSS,The number of children who have registered for and attend 9th through 12th grade at a Baltimore City Public School at any point in the school year.
69,Percent of Students Enolled in CTE Programs,,Education,,
70,Percent of Students that are African American (non-Hispanic),aastud,Education,BCPSS,The percentage of Black/African American students of any grade that attend any Baltimore City Public School out of all public school students within an area in a school year.
71,Percent of Students that are White (non-Hispanic),wstud,Education,BCPSS,The percentage of white (non-Hispanic) students of any grade that attend any Baltimore City Public School out of all public school students within an area in a school year. 
72,Percent of Students that are Hispanic,hstud,Education,BCPSS,The percentage of students of any grade level who identify their ethnicity as being Hispanic that attend any Baltimore City Public School out of all public school students within an area in a school year. Ethnicity is separate from a student’s race. 
73,Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),abse,Education,BCPSS,The percentage of 1st-5th grade students that were recognized as being absent from public school 20 or more days out of all students.           
74,Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),absmd,Education,BCPSS,The percentage of 6th-8th grade students that were recognized as being absent from public school 20 or more days out of all students.           
75,Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),abshs,Education,BCPSS, The percentage of 9th-12th grade students that were recognized as being absent from public school 20 or more days out of all students.           
76,Percentage of Students Suspended or Expelled During School Year,susp,Education,BCPSS,The percentage of students of any grade level that are formally suspended or expelled for any reason during the school year out of all public school students within an area. 
77,Percentage of Students Receiving Free or Reduced Meals,farms,Education,BCPSS,The percentage of students of any grade that are eligible for and receive free or reduced school meals out of all public school students. Eligibility for this program is based on the student’s household income. 
78,Percentage of Students Enrolled in Special Education Programs,sped,Education,BCPSS,The percentage of students of any grade that are eligible for and participating in public school special education programs out of all students. This includes all students with any diagnosed disability
79,Percentage of Students Enrolled in After School Programs,,Education,,
80,Kindergarten School Readiness,ready,Education,BCPSS,"The percentage of children whose composite score indicates full school readiness out of all kindergarten school children tested within an area in a school year. The Maryland Model for School Readiness (MMSR) is an assessment and instructional system that was designed to provide parents, teachers, and early childhood providers with a common understanding of what children know and are able to do upon entering school. Under the MMSR system, all children entering kindergarten are assessed for level of mastery across several learning domains. These domains include: social and personal development; language and literacy; mathematical thinking; scientific thinking; social studies; the arts; and physical development and health. Kindergarten teachers must evaluate students during the first few months of the kindergarten year using selected Work Sampling System (WSS) indicators and report their ratings by the end of November of each year to the state. "
81,Percentage of 3rd Grade Students Passing MSA Math,math3,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
82,Percentage of 3rd Grade Students Passing MSA Reading,read3,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
83,Percentage of 5th Grade Students Passing MSA Math,math5,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
84,Percentage of 5th Grade Students Passing MSA Reading,read5,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
85,Percentage of 8th Grade Students Passing MSA Math,math8,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
86,Percentage of 8th Grade Students Passing MSA Reading,read8,Education,BCPSS,"The percentages of students passing M.S.A. exams in reading and mathematics in 3rd, 5th, and 8th grades. Maryland School Assessment (MSA) scores measure the number of students scoring in one of three classifications out of all students enrolled in that grade. Students can either be rated as advanced, proficient, or having basic knowledge of a subject. This indicator includes only those students who have tested as advanced or proficient."
87,Percentage of Students Passing H.S.A. English ,hsaeng,Education,BCPSS,"The percentage of high school students who have successfully passed the H.S.A. exams out of all high school students that took the exam in the school year (considering only the highest score per subject area). In Maryland, all students who entered 9th grade in or after 2005 are required to take and pass the High School Assessments (H.S.A.) in order to graduate, including students in special education, English language learners (ELLs), and students with 504 plans. There are currently three H.S.A. exams: English, Algebra/Data Analysis; and Biology (a H.S.A. in Government has since been discontinued). Students can retake the HSAs as many times as necessary to pass."
88,Percentage of Students Passing H.S.A. Biology,hsabio,Education,BCPSS,"The percentage of high school students who have successfully passed the H.S.A. exams out of all high school students that took the exam in the school year (considering only the highest score per subject area). In Maryland, all students who entered 9th grade in or after 2005 are required to take and pass the High School Assessments (H.S.A.) in order to graduate, including students in special education, English language learners (ELLs), and students with 504 plans. There are currently three H.S.A. exams: English, Algebra/Data Analysis; and Biology (a H.S.A. in Government has since been discontinued). Students can retake the HSAs as many times as necessary to pass."
89,Percentage of Students Passing H.S.A. Government,hsagov,Education,BCPSS,"The percentage of high school students who have successfully passed the H.S.A. exams out of all high school students that took the exam in the school year (considering only the highest score per subject area). In Maryland, all students who entered 9th grade in or after 2005 are required to take and pass the High School Assessments (H.S.A.) in order to graduate, including students in special education, English language learners (ELLs), and students with 504 plans. There are currently three H.S.A. exams: English, Algebra/Data Analysis; and Biology (a H.S.A. in Government has since been discontinued). Students can retake the HSAs as many times as necessary to pass."
90,Percentage of Students Passing H.S.A. Algebra,hsaalg,Education,BCPSS,"The percentage of high school students who have successfully passed the H.S.A. exams out of all high school students that took the exam in the school year (considering only the highest score per subject area). In Maryland, all students who entered 9th grade in or after 2005 are required to take and pass the High School Assessments (H.S.A.) in order to graduate, including students in special education, English language learners (ELLs), and students with 504 plans. There are currently three H.S.A. exams: English, Algebra/Data Analysis; and Biology (a H.S.A. in Government has since been discontinued). Students can retake the HSAs as many times as necessary to pass."
91,High School Dropout/Withdrawl Rate,drop,Education,BCPSS,"The percentage of 9th through 12th graders who withdraw from public school out of all high school students in a school year. Withdraw codes are used as a proxy for dropping out of school based upon the expectation that withdrawn students are no longer receiving educational services. A dropout is defined as a student who, for any reason other than death, leaves school before graduation or the completion of a Maryland-approved education program and is not known to enroll in another school or State-approved program during a current school year."
92,High School Completion Rate,compl,Education,BCPSS,The percentage of 12th graders in a school year that successfully completed high school out of all 12th graders within an area. Completers are identified as completing their program of study at the high school level and satisfying the graduation requirements for a Maryland High School Diploma or the requirements for a Maryland Certificate of Program Completion
93,Persons Receiving a GED,,Education,,
94,Percent of Students Switching Schools within School Year,sclsw,Education,BCPSS,"The percentage of 1st through 12th graders who change schools out of all students in a school year. Students must have attended both schools for which they were registered for at least one day.  Additionally, this indicator only identifies the share of students that change schools for any reasons and not the frequency, number of school switches, or change in residences in a school year.  The percentage reflects the last home address available for the student who changed schools.  This may or may not be the home address provided for the first school that they are registered to attend.  "
95,Percentage of Students Attending Zoned School ,,Education,,
96,Average Distance Travelled to School (6th-8th Grade),,Education,,
97,Average Distance Travelled to School (9th-12th Grade),,Education,,
98,Percentage of Population aged 16-19 in School and/or Employed,sclemp,Education,ACS,The percentage of persons aged 16 to 19 who are in school and/or are employed out of all persons in their age cohort.
99,"Teen Pregnancy Rate per 1,000 Females (aged 15-19)",teenbir,Health and Human Welfare,Vital Statistics,"The rate of female teens aged 15-19 that gave birth per 1,000 females aged 15-19.     "
100,Percent of Births Delivered at Term (37-42 Weeks),termbir,Health and Human Welfare,Vital Statistics,The percentage of births delivered at term measures the percentage of births in a calendar year where the baby is delivered between 37 and 42 weeks of gestation.
101,Percent of Babies Born with a Satisfactory Birth Weight,birthwt,Health and Human Welfare,Vital Statistics,The percentage of children born with a birth weight of at least 5 ½ pounds out of all births in the area.  
102,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),prenatal,Health and Human Welfare,Vital Statistics,The percentage of births where the mother received prenatal care during the first trimester of the pregnancy in a calendar year out of all births within an area. This information is calculated by the Vital Statistics registration information collected from each live birth. 
103,Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,leadtest,Health and Human Welfare,MDE,This indicator reflects the total number of children aged 0-6 who are tested for the presence of blood lead in a calendar year.
104,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,ebll,Health and Human Welfare,MDE,The number of children aged 0-6 that are found to either have elevated blood lead levels  (≥10Mg/dL) or lead poisoning (≥20 Mg/dL) out of the number of children tested within an area in a calendar year. 
105,"Percent of Lead Violations per 1,000 Residential Units",leadv,Health and Human Welfare,City Health,
106,Percent of Families Receiving TANF,tanf,Health and Human Welfare,MD DHR,"Temporary Assistance for Needy Families (TANF) is a federal assistance program. The Act provides temporary financial assistance while aiming to get people off of that assistance, primarily through employment.  "
107,Percent of Persons receiving SNAP,,Health and Human Welfare,,
108,Fetal Mortality Rate,,Health and Human Welfare,,
109,"Liquor Outlet density (per 1,000 Residents)",liquor,Health and Human Welfare,City Liquor Board,"This indicator reflects the number of business establishments that possess a Class A (Off Sale package goods no on-premises consumption - 6 days, 6:00 a.m.- Midnight. No Sunday sales except Sundays between Thanksgiving Day and New Year's Day upon issuance of a special license for each Sunday) or BD7 (tavern) business license that allows them to sell beer, wine, or liquor. Other liquor licenses to restaurants or on-premise consumption were not included in this analysis. This number is provided by 1,000 residents to allow for comparison across neighborhoods"
110,"Fast Food Outlet Density (per 1,000 Residents)",fastfd,Health and Human Welfare,JHU-CLF,"The Johns Hopkins Center for a Livable Future (CLF) obtained the food permit list from the Baltimore City Health Department in August 2011, which includes all sites that sell food, such as stores, restaurants and temporary locations such as farmers’ market stands and street carts. The restaurants were grouped into three categories, including full service restaurants, fast food chains and carryouts. Carryout and fast food chain restaurants were extracted from the restaurant layer and spatially joined with the 2010 Community Statistical Area (CSA) data layer, provided by BNIA-JFI. The prepared foods density, per 1,000 people, was calculated for each CSA using the CSA’s population and the total number of carryout and fast food restaurants, including vendors selling prepared foods in public markets, in each CSA."
111,Number of Persons calling UWCM 211 for Health-Related Services ,,Health and Human Welfare,,
112,"Rate of STDs per 1,000 Residents (Chlamydia, Gonorrhea, and Syphilis)",,Health and Human Welfare,,
113,"Rate of HIV/AIDS per 1,000 Residents",,Health and Human Welfare,,
114,Life Expectancy,lifexp,Health and Human Welfare,City Health,"The average number of years a newborn can expect to live, assuming he or she experiences the currently prevailing rates of death through their lifespan.  "
115,Infant Mortality,mort1_,Health and Human Welfare,City Health,"The number of infant deaths (babies under one year of age) per 1,000 live births within the area in a five year period.  This is the most stable and commonly measured indicator of mortality in this age group. "
116,Mortality by Age (1-14 years old),mort14_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of one and 14 per 10,000 persons within the area in a five year period.  "
117,Mortality by Age (15-24 years old),mort24_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 15 and 24 per 10,000 persons within the area in a five year period."
118,Mortality by Age (25-44 years old),mort44_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 25 and 44 per 10,000 persons within the area in a five year period"
119,Mortality by Age (45-64 years old),mort64_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 45 and 64 per 10,000 persons within the area in a five year period.  "
120,Mortality by Age (65-84 years old),mort84_,Health and Human Welfare,City Health,"The number of deaths of persons between the ages of 65 and 84 per 10,000 persons within the area in a five year period."
121,Mortality by Age (85 and over),mort85_,Health and Human Welfare,City Health,"The number of deaths of persons 85 years and older per 10,000 persons within the area in a five year period.  "
122,Causes of Death (analysis of top causes),,Health and Human Welfare,,
123,Causes of Death (analysis of top causes),,Health and Human Welfare,,
124,Causes of Death (analysis of top causes),,Health and Human Welfare,,
125,Causes of Death (analysis of top causes),,Health and Human Welfare,,
126,Causes of Death (analysis of top causes),,Health and Human Welfare,,
127,Percent of persons with health insurance,,Health and Human Welfare,,
128,"Number of Persons with Library Cards per 1,000 Residents",libcard,Arts and Culture,Enoch Pratt,"The rate of persons per 1,000 residents that possess a valid public library system card. This includes all library card types (first card, juvenile, young adult, adult).  "
129,"Number of Event Permits Requested per 1,000 Residents",artevnt,Arts and Culture,DOT,"The number of event permits requested per 1,000 residents. Events include, but are not limited to, festivals, block parties, races, and parades. In the event of a large event, the central point is used to calculate the location of the request."
130,"Public Art per 1,000 Residents",publartxx,Arts and Culture,BOPA,"The number of works of public art per 1,000 residents. These works include, but are not exclusive to, murals, monuments, sculptures, mosaics, and stained glass. The Baltimore Office of Promotion and the Arts tracks works created through the 1% for Public Art and Baltimore Mural Programs and maintains general inventories of public art and murals.  Additional inventories of public art exist, but not at a comprehensive citywide scale and hence cannot be broken down into cross-neighborhood analyses."
